first_name,last_name,email,Password,gender,Phone Number,Credit Card number,Drug Name,Drug Company,Price,Image,stocks,Drug Code
Birch,Carmody,bcarmody6f@stumbleupon.com,1aTgmDvH,Male,676-132-0779,,HYDROCODONE BITARTRATE AND ACETAMINOPHEN,Rebel Distributors Corp,51,http://dummyimage.com/113x179.png/5fa2dd/ffffff,42,42254-340
Glenden,Heard,gheard6g@samsung.com,ptHmcy2zD,Male,639-512-6218,,Methylphenidate Hydrochloride,Actavis South Atlantic LLC,26,http://dummyimage.com/166x203.png/5fa2dd/ffffff,34,67767-200
Fergus,McGebenay,fmcgebenay6h@livejournal.com,hwCPvfS,Male,333-246-3040,3574908359023953,SAMBUCUS NIGRA FLOWER ECHINACEA ANGUSTIFOLIA CALENDULA OFFICINALIS FLOWER PINE NEEDLE OIL (PINUS SYLVESTRIS) THUJA OCCIDENTALIS ROOT,PUREMEDY,38,http://dummyimage.com/167x135.png/ff4444/ffffff,14,52810-301
Farris,Showl,fshowl6i@edublogs.org,NKKGB1RvCf,Male,223-414-3879,4405666228777059,Tizanidine,"Preferred Pharmaceuticals, Inc",20,http://dummyimage.com/139x112.png/dddddd/000000,13,68788-9092
Claudina,Lalley,clalley6j@cdc.gov,7GiDGY3GIKO,Female,583-519-0860,,EPINEPHRINE,DRNATURALHEALING,59,http://dummyimage.com/225x228.png/dddddd/000000,59,15343-105
Jillane,Reilly,jreilly6k@ow.ly,gtxGjPccQI,Female,219-338-3025,,ALCOHOL,Artec Chemical Company Limited,6,http://dummyimage.com/124x242.png/ff4444/ffffff,5,76352-002
Harwell,Houseago,hhouseago6l@flavors.me,LTFnVwH,Male,234-748-4839,,Sodium Fluoride,Colgate-Palmolive Canada,67,http://dummyimage.com/246x120.png/ff4444/ffffff,57,51442-531
Hasheem,Van Brug,hvanbrug6m@theguardian.com,FWEr5I,Male,216-176-0519,6304374671237730565,perindopril erbumine,XOMA (US) LLC,52,http://dummyimage.com/209x188.png/ff4444/ffffff,59,76234-000
Clementina,Tyght,ctyght6n@java.com,nBrPf18Isd,Female,314-172-6373,4905067560864596613,diltiazem hydrochloride,Carilion Materials Management,95,http://dummyimage.com/186x140.png/cc0000/ffffff,75,68151-1480
Cointon,Officer,cofficer6o@ehow.com,n3S0Ryafnql,Male,924-682-0223,,Lisinopril,Clinical Solutions Wholesale,82,http://dummyimage.com/235x212.png/cc0000/ffffff,58,58118-0515
Nita,Dovermann,ndovermann6p@boston.com,dDsge2G,Female,638-556-7146,,Theophylline,A-S Medication Solutions LLC,87,http://dummyimage.com/112x212.png/cc0000/ffffff,79,54569-2483
Marilee,Troubridge,mtroubridge6q@irs.gov,9Cerj5,Female,301-437-7423,,temazepam,"Ascend Laboratories, LLC",57,http://dummyimage.com/131x108.png/dddddd/000000,56,67877-148
Joell,Dreye,jdreye6r@ftc.gov,VlWOcPsS,Female,268-711-7070,,Acetaminophen,"Physicians Total Care, Inc.",95,http://dummyimage.com/151x220.png/ff4444/ffffff,56,54868-0548
Rollin,Handsheart,rhandsheart6s@wiley.com,uIJceZ02,Male,925-748-0509,6762737438922574166,Benzocaine,Crosstex International Inc.,98,http://dummyimage.com/199x163.png/cc0000/ffffff,8,24794-222
Hestia,Hayford,hhayford6t@vistaprint.com,yuJkA1kV,Female,842-827-5462,,CIPROFLOXACIN HYDROCHLORIDE,"Preferred Pharmaceuticals, Inc.",44,http://dummyimage.com/176x104.png/ff4444/ffffff,63,68788-9391
Kelci,Coyett,kcoyett6u@hexun.com,qKAF8J,Female,537-834-7396,,Triclosan,Ecolab Inc.,77,http://dummyimage.com/246x104.png/5fa2dd/ffffff,37,47593-471
Mercie,Halms,mhalms6v@ucsd.edu,sUyPCMEICz,Female,565-950-6340,,Ropinirole Hydrochloride,"AvKARE, Inc.",87,http://dummyimage.com/131x130.png/cc0000/ffffff,47,42291-708
Rayshell,Rymell,rrymell6w@phpbb.com,aOdlWRRQmXP,Female,709-785-2225,,Shark Cartilage,"BioActive Nutritional, Inc.",42,http://dummyimage.com/173x129.png/cc0000/ffffff,3,43857-0076
Myra,Gwatkins,mgwatkins6x@columbia.edu,vg9Kv0eYrreN,Female,486-665-6827,,Crab Xiphosurus sowerbyi,Jubilant HollisterStier LLC,89,http://dummyimage.com/169x242.png/dddddd/000000,55,65044-3216
Jermaine,Butterfint,jbutterfint6y@usa.gov,oDht9Cqsy8v,Female,293-703-8165,4026810402362929,Omeprazole,"NCS HealthCare of KY, Inc dba Vangard Labs",20,http://dummyimage.com/113x189.png/cc0000/ffffff,81,0615-2302
Fairleigh,Whyberd,fwhyberd6z@guardian.co.uk,wsqjEV,Male,199-164-5536,58933375050183231,"Dextromethorphan Hydrobromide, Pseudoephedrine Hydrochloride and Chlorpheniramine Maleate","Brookstone Pharmaceuticals, Inc.",39,http://dummyimage.com/181x118.png/cc0000/ffffff,22,42192-514
Nichol,Philipsohn,nphilipsohn70@over-blog.com,1J21oew,Female,410-902-4610,,telmisartan/amlodipine,"Boehringer Ingelheim Pharmaceuticals, Inc.",29,http://dummyimage.com/167x112.png/dddddd/000000,37,0597-0126
Dixie,Wivell,dwivell71@craigslist.org,ADa6QCGxL,Female,840-571-8759,,Drosera comp.,Uriel Pharmacy Inc.,86,http://dummyimage.com/107x145.png/ff4444/ffffff,32,48951-4009
Tallia,Newlove,tnewlove72@smh.com.au,7wGAq7X,Female,250-125-2552,,fluconazole,Roerig,62,http://dummyimage.com/138x179.png/ff4444/ffffff,71,0049-3420
Clair,Haresnaip,charesnaip73@goodreads.com,qTADG91Zs,Female,101-932-1096,633110976823746181,bismuth subsalicylate,"Rugby Laboratories, Inc.",97,http://dummyimage.com/241x180.png/dddddd/000000,5,0536-1810
Yves,Thrower,ythrower74@adobe.com,4hSaXBBUqJ,Male,705-817-8741,,Clarithromycin,Apotex Corp,85,http://dummyimage.com/212x125.png/5fa2dd/ffffff,56,60505-2615
Barn,Nimmo,bnimmo75@jiathis.com,WIaWVXd,Male,817-589-0152,,menthol - methyl salicylate,Imbue Body LLC,11,http://dummyimage.com/138x110.png/dddddd/000000,51,75979-1146
Vidovik,Basini-Gazzi,vbasinigazzi76@ihg.com,EVwK4fwN95,Male,797-422-5085,3569737811196850,Clonazepam,"Preferred Pharmaceuticals, Inc.",74,http://dummyimage.com/132x110.png/ff4444/ffffff,9,68788-9379
Pancho,Olanda,polanda77@dmoz.org,o3NRhxeQzL,Male,598-586-0750,6771359147334193485,Nicotine Polacrilex,Topco Associates LLC,80,http://dummyimage.com/184x117.png/dddddd/000000,63,36800-456
Kathye,Pulster,kpulster78@behance.net,LMDpXNgW,Female,285-996-7219,,azacitidine,Sandoz Inc,95,http://dummyimage.com/203x220.png/5fa2dd/ffffff,61,0781-9253
Bernardo,Harses,bharses79@bloglovin.com,xL8nsICwK,Male,507-918-9130,5602242364865476,Benzalkonium Chloride,"Medline Industries, Inc.",48,http://dummyimage.com/159x189.png/5fa2dd/ffffff,18,53329-056
Atlanta,Blandford,ablandford7a@altervista.org,8EI1dG9,Female,121-954-1164,5602248247365667,water,Phoenix/Clipper,39,http://dummyimage.com/146x219.png/cc0000/ffffff,14,57319-411
Ade,Lytle,alytle7b@state.tx.us,kpXtznhD,Male,618-113-4852,374283688466093,ETHYL ALCOHOL,"BB17, LLC",79,http://dummyimage.com/213x100.png/dddddd/000000,13,53603-1003
Jacquelynn,Eighteen,jeighteen7c@scientificamerican.com,3yctwrDew,Female,806-457-4816,5484230656592422,Dimethicone,"Medline Industries, Inc.",70,http://dummyimage.com/179x215.png/ff4444/ffffff,27,53329-063
Floyd,Scurrah,fscurrah7d@nature.com,yIlx4AX0k,Male,236-585-3862,,Naproxen Sodium,"Northwind Pharmaceuticals, LLC",38,http://dummyimage.com/214x104.png/5fa2dd/ffffff,20,51655-685
Allissa,Gridley,agridley7e@toplist.cz,xLUiBpUkwm,Female,366-588-7167,3569282799652129,"Acetaminophen, Dextromethorphan HBr, Doxylamine Succinate, Pseudoephedrine HCl",Walgreen Company,86,http://dummyimage.com/219x214.png/dddddd/000000,69,0363-0550
Lalo,Raspin,lraspin7f@ehow.com,F7TMXhIDm,Male,750-440-0920,4041594388535481,Montelukast Sodium,"Aphena Pharma Solutions - Tennessee, LLC",57,http://dummyimage.com/189x106.png/cc0000/ffffff,21,43353-879
Roselle,Extall,rextall7g@dion.ne.jp,7owdu11Wobgh,Female,451-328-8675,,Bald Cypress,"Nelco Laboratories, Inc.",5,http://dummyimage.com/190x176.png/dddddd/000000,26,36987-2624
Hamilton,Yele,hyele7h@sogou.com,pxb4HUavjiCr,Male,938-809-6223,5018990614912407712,Ethyl Alcohol,"Jets, Sets, & Elephants Beauty Corp.",27,http://dummyimage.com/216x217.png/dddddd/000000,71,50988-287
Bill,Ivashinnikov,bivashinnikov7i@biblegateway.com,eGXpN0oH,Female,479-437-5604,,"Diphenhydramine HCl, Phenylephrine HCl",Cardinal Health,97,http://dummyimage.com/118x118.png/dddddd/000000,76,37205-850
Anderson,Lusty,alusty7j@yolasite.com,uD1siMe,Male,453-648-9256,,Erythromycin,Bausch & Lomb Incorporated,94,http://dummyimage.com/183x178.png/dddddd/000000,3,24208-910
Flossie,Furlong,ffurlong7k@samsung.com,i04Anfbkg7,Female,132-160-7097,3535570404162935,"Dextrose Monohydrate, Sodium Chloride, Sodium Lactate, Calcium Chloride, Magnesium Chloride",Fresenius Medical Care North America,95,http://dummyimage.com/242x242.png/ff4444/ffffff,44,49230-200
Seline,Damsell,sdamsell7l@oakley.com,AwlK5ZL,Female,812-693-4730,,DIMETHICONE,"NATURE REPUBLIC CO., LTD.",64,http://dummyimage.com/132x177.png/ff4444/ffffff,22,51346-082
Brodie,Heigold,bheigold7m@sphinn.com,zDNPpOKPPai,Male,497-196-1147,,Venlafaxine Hydrochloride,"AvKARE, Inc.",32,http://dummyimage.com/191x198.png/5fa2dd/ffffff,13,42291-899
Ernie,Pote,epote7n@nytimes.com,dhQWSHb4e,Male,347-924-8571,,ramelteon,"Takeda Pharmaceuticals America, Inc.",84,http://dummyimage.com/244x145.png/ff4444/ffffff,88,64764-805
Alexi,Dohrmann,adohrmann7o@paypal.com,z5WRQXOwe,Female,215-213-9052,,Dimethicone,"KIMJEONGMOON ALOE CO., LTD.",20,http://dummyimage.com/166x185.png/cc0000/ffffff,20,50410-070
Lynn,Coales,lcoales7p@github.com,SE23Aau8bW,Male,796-412-9702,5020699362800380662,"OCTINOXATE, OXYBENZONE","Aloe Care International, LLC",87,http://dummyimage.com/203x134.png/5fa2dd/ffffff,83,61477-216
Garner,Cudd,gcudd7q@technorati.com,chhdcX,Male,797-297-0595,5462470186427949,Morphine Sulfate,Lake Erie Medical & Surgical Supply DBA Quality Care Products LLC,72,http://dummyimage.com/225x155.png/5fa2dd/ffffff,69,49999-846
Onida,Maskall,omaskall7r@cnet.com,j4KSZM8,Female,975-648-1759,,Caffeine,"WOONSOCKET PRESCRIPTION CENTER,INCORPORATED",50,http://dummyimage.com/127x234.png/cc0000/ffffff,43,59779-226
Elmore,Leatham,eleatham7s@blogtalkradio.com,tg5gFo,Male,407-726-6720,6376126543497966,Erythromycin and Benzoyl Peroxide,Sandoz,17,http://dummyimage.com/179x101.png/dddddd/000000,91,0781-7094
Arliene,Mogg,amogg7t@princeton.edu,uUjZtzslTo,Female,781-483-9567,5443242403633383,White Petrolatum,CVS Pharmacy,19,http://dummyimage.com/246x170.png/dddddd/000000,22,59779-566
Drusilla,Burner,dburner7u@tripod.com,FwMylY,Female,711-848-2542,3588285928838557,Fluoride,CVS Pharmacy,71,http://dummyimage.com/157x122.png/ff4444/ffffff,19,59779-819
Tammie,Jordan,tjordan7v@mozilla.com,GdbBNPsyeAvt,Female,201-321-0734,,"Acetaminophen, Aspirin, Caffeine",TOP CARE (Topco Associates LLC),56,http://dummyimage.com/123x189.png/cc0000/ffffff,17,36800-147
Francklyn,Eul,feul7w@loc.gov,e1ryEAk5V1p,Male,792-398-5706,4508059600705193,"Titanium Dioxide, Octinoxate","Dong Sung Pharm. Co., Ltd.",88,http://dummyimage.com/148x126.png/cc0000/ffffff,20,42361-011
Amelita,Izaks,aizaks7x@oakley.com,O5V6Gs54K,Female,608-661-3922,4911834570981318,Acetaminophen,Topco Associates LLC,87,http://dummyimage.com/203x192.png/cc0000/ffffff,100,36800-175
Elmo,Antonomoli,eantonomoli7y@spiegel.de,4hjU1mwE,Male,662-441-7372,,"Avobenzone, Ensulizole, Octinoxate, and Oxybenzone",Ventura International LTD,28,http://dummyimage.com/245x191.png/dddddd/000000,54,14783-049
Easter,Gleadhall,egleadhall7z@mozilla.com,COWNXvBRBf4a,Female,140-884-3616,,Norepinephrine Bitartrate,"General Injectables & Vaccines, Inc",72,http://dummyimage.com/182x125.png/5fa2dd/ffffff,63,52584-443
Tracie,Bendon,tbendon80@dropbox.com,o2faOXKW4,Male,499-527-9154,,Rosemary Oil,"Laurus Enterprises, LLC",34,http://dummyimage.com/116x247.png/ff4444/ffffff,83,57240-2010
Claudette,Emmett,cemmett81@wiley.com,w7BmqrjTZ,Female,725-996-5084,30582988866613,"Dextromethorphan Hydrobromide, Doxylamine Succinate",Amerisource Bergen,33,http://dummyimage.com/153x172.png/ff4444/ffffff,92,24385-461
Gris,Veregan,gveregan82@youku.com,2yKzubQ6cLr,Male,380-492-6244,201413055267563,Isopropyl Alcohol,Dalian Rongbang Medical Healthy Devices,64,http://dummyimage.com/195x159.png/cc0000/ffffff,27,49953-2801
Avery,Sheering,asheering83@arizona.edu,wuES4its3m,Male,802-589-2994,374283414803726,Prednisolone Acetate,"Physicians Total Care, Inc.",61,http://dummyimage.com/145x202.png/ff4444/ffffff,25,54868-4293
Peggi,Mongain,pmongain84@youtu.be,t98hDDBjZSfL,Female,688-258-6096,30519344379964,"Dextromethorphan Hydrobromide, Doxylamine Succinate",Topco Associates LLC,63,http://dummyimage.com/119x153.png/5fa2dd/ffffff,30,36800-668
Horatius,MacCollom,hmaccollom85@arstechnica.com,uzNR3O0,Male,684-888-9488,3557261424384823,DIMETHICONE,"NATURE REPUBLIC CO., LTD.",12,http://dummyimage.com/207x192.png/cc0000/ffffff,57,51346-124
Ashien,Geraudy,ageraudy86@fastcompany.com,25AQoMs8k,Female,964-688-3984,3536959834033064,Indomethacin,Teva Pharmaceuticals USA Inc,78,http://dummyimage.com/226x113.png/ff4444/ffffff,96,0093-4030
Geoffry,Matuszkiewicz,gmatuszkiewicz87@fastcompany.com,Cl6QzvuEgW,Male,974-231-9702,,Ibuprofen,Valu Merchandisers Company,88,http://dummyimage.com/102x198.png/dddddd/000000,54,63941-262
Arv,Dumbare,adumbare88@hugedomains.com,AtWKeMV8kMo,Male,247-702-9653,5048378474586289,Omeprazole,STAT Rx USA LLC,75,http://dummyimage.com/131x248.png/ff4444/ffffff,55,42549-541
Clemmy,Murford,cmurford89@biglobe.ne.jp,TV9VhHLytV,Female,973-645-5828,5100171076482956,Sennosides Stimulant Laxative,"Geiss, Destin & Dunn, Inc",96,http://dummyimage.com/125x121.png/dddddd/000000,79,50804-001
Woody,Rattery,wrattery8a@google.ca,RRyEeS3EAmX,Male,460-960-3157,,Prostrate Booster,"Vitality Works, Inc.",29,http://dummyimage.com/169x137.png/cc0000/ffffff,81,64616-098
Eimile,Glader,eglader8b@jugem.jp,hVx0nynpYNz,Female,164-405-8156,3582406980901432,Aspirin,Zee Medical Inc,99,http://dummyimage.com/111x157.png/cc0000/ffffff,89,35418-232
Cate,Galliard,cgalliard8c@spotify.com,bGqOV1fAuNtU,Female,381-726-2358,,"Bacitracin Zinc, Neomycin, Polymyxin B Sulfate, Pramoxine Hydrochloride",Chain Drug Marketing Association Inc,29,http://dummyimage.com/142x131.png/cc0000/ffffff,19,63868-910
Marielle,Gillio,mgillio8d@mail.ru,XIpfj3En,Female,316-897-9998,,Acetaminophen,HyVee Inc,84,http://dummyimage.com/137x218.png/ff4444/ffffff,44,42507-759
Quintin,Loy,qloy8e@utexas.edu,10T87hf2S7,Male,509-506-2915,,"Acetaldehyde, Adrenal, Argentum Nitricum","ABCO Laboratories, Inc.",68,http://dummyimage.com/149x191.png/ff4444/ffffff,31,54118-7976
Gabriel,Rugieri,grugieri8f@surveymonkey.com,CMk5hru5,Male,104-318-7228,,"Serotonin,","Deseret Biologicals, Inc.",12,http://dummyimage.com/206x219.png/dddddd/000000,10,43742-0059
Olvan,Dight,odight8g@apple.com,MkETys6S8,Male,544-905-5076,,oxycodone and acetaminophen,Shionogi Inc,59,http://dummyimage.com/111x175.png/cc0000/ffffff,62,59630-994
Vaughn,Gavrieli,vgavrieli8h@over-blog.com,F1E3YmUTs4zE,Male,872-549-4201,201508925883133,VALERIAN,Washington Homeopathic Products,30,http://dummyimage.com/115x225.png/ff4444/ffffff,80,68428-165
Son,Border,sborder8i@slideshare.net,QH1fDoXVg26,Male,616-242-4803,3566962285775194,Benzethonium Chloride,"Loesch Laboratory Consultants, Inc.",28,http://dummyimage.com/147x126.png/5fa2dd/ffffff,64,25280-005
Misty,Stigers,mstigers8j@hhs.gov,u9ApSoY,Female,529-619-6792,3534480862682872,hydrochlorothiazide,ReadyMeds,64,http://dummyimage.com/126x169.png/cc0000/ffffff,77,64205-130
Teresita,Welldrake,twelldrake8k@ucoz.com,iE0yQCvbOgc,Female,680-377-1072,201978920168105,Titanium Dioxide and Octinoxate,Space Brands Limited,76,http://dummyimage.com/151x187.png/cc0000/ffffff,44,61601-1120
Kiel,Piens,kpiens8l@slideshare.net,lLT7eknJGH9,Male,133-193-1038,,Agrostis alba,"Allermed Laboratories, Inc.",89,http://dummyimage.com/167x137.png/dddddd/000000,31,49643-309
Breena,Bree,bbree8m@godaddy.com,ag4gz02GBW,Female,652-308-3578,6388702878342633,Acetaminophen,"McNeil Consumer Healthcare Div. McNeil-PPC, Inc",95,http://dummyimage.com/197x191.png/ff4444/ffffff,87,50580-501
Gretchen,Lakey,glakey8n@ucla.edu,xDmBusIL,Female,473-782-3790,4026466134731319,"Allium cepa, Arsen iod, Euphrasia, Kali bich, Sambucus, Wyethia","Native Remedies, LLC",22,http://dummyimage.com/174x133.png/cc0000/ffffff,91,68703-084
Terry,Jemmison,tjemmison8o@feedburner.com,3ajSHo,Male,921-422-0462,4405907663071701,OCTINOXATE and TITANIUM DIOXIDE,LIBINVEST,84,http://dummyimage.com/118x204.png/dddddd/000000,85,52424-0001
Donetta,Fellnee,dfellnee8p@psu.edu,JPGabBJd9x,Female,873-852-6748,3540603737331464,Piroxicam,"AvKARE, Inc.",77,http://dummyimage.com/189x202.png/dddddd/000000,77,42291-677
Quincey,Mannix,qmannix8q@rediff.com,asxb7w,Male,702-173-6508,,Loratadine,"Shopko Stores Operating Co., LLC",26,http://dummyimage.com/157x203.png/5fa2dd/ffffff,74,37012-527
Raffarty,McElhargy,rmcelhargy8r@prnewswire.com,QKFbk7Lj,Male,514-177-6707,3556446806043540,Ampicillin Sodium,Sandoz Inc,30,http://dummyimage.com/191x109.png/5fa2dd/ffffff,89,0781-3412
Bert,Durman,bdurman8s@opera.com,Gt58BWe,Male,118-584-3056,3583474620431326,BARIUM SULFATE,E-Z-EM Canada Inc,63,http://dummyimage.com/124x101.png/5fa2dd/ffffff,19,32909-804
Mendel,Palatini,mpalatini8t@360.cn,0gZSP6uNLU,Male,624-922-0946,,HYDROMORPHONE HYDROCHLORIDE,STAT Rx USA LLC,94,http://dummyimage.com/144x247.png/ff4444/ffffff,77,42549-594
Almira,Treat,atreat8u@go.com,pLycXjXS6l3,Female,862-203-6583,201821381536040,Oxygen,A-Z HME Inc,13,http://dummyimage.com/217x232.png/cc0000/ffffff,64,59246-0001
Nancie,Oldred,noldred8v@noaa.gov,rtpdxPopTn,Female,413-257-1381,3558716551709356,"Acetaminophen, Dextromethorphan Hydrobromidem, Doxylamine Succinate",H.E.B,27,http://dummyimage.com/193x197.png/5fa2dd/ffffff,54,59640-113
Pierre,Krelle,pkrelle8w@storify.com,I6SjVBLzst,Male,501-641-5754,5170443343630252,Escitalopram Oxalate,Aurobindo Pharma Limited,11,http://dummyimage.com/180x168.png/5fa2dd/ffffff,64,65862-375
Geno,Jarrette,gjarrette8x@ovh.net,TAHSHqUFevzd,Male,886-432-1591,3586301085404505,TRICLOSAN,RITE AID CORPORATION,57,http://dummyimage.com/188x143.png/cc0000/ffffff,3,11822-1793
Erich,Apperley,eapperley8y@chicagotribune.com,JFWEyGJmJTQp,Male,760-333-5176,3534869545005834,Ibuprofen,"FRED'S, INC.",42,http://dummyimage.com/178x133.png/dddddd/000000,79,55315-393
Sasha,Comellini,scomellini8z@cmu.edu,eWnzm8tYB1hY,Male,186-508-1981,5007662648447208,diphenhydramine hydrochloride and zinc acetate,Publix Super Markets Inc,84,http://dummyimage.com/170x155.png/dddddd/000000,93,41415-046
Joni,Melanaphy,jmelanaphy90@indiatimes.com,9qct39mb8R1F,Female,808-259-5418,4903626860732445459,"acetaminophen, dextromethorphan Hbr, Phenylephrine HCl",McKesson,35,http://dummyimage.com/163x169.png/ff4444/ffffff,74,49348-753
Beckie,Risborough,brisborough91@oracle.com,hZ6PzdPxg,Female,199-345-2666,,Aspirin,Rebel Distributors Corp,47,http://dummyimage.com/184x135.png/ff4444/ffffff,32,21695-666
Meridith,Faulkener,mfaulkener92@simplemachines.org,G9vyarz,Female,948-576-8472,5187062618996940,Hog Epithelium,"Nelco Laboratories, Inc.",70,http://dummyimage.com/146x193.png/dddddd/000000,51,36987-1077
Mycah,Blease,mblease93@examiner.com,UtHyl5gjgSe,Male,728-211-0528,,Oxygen,"Med-Core Services, Inc.",84,http://dummyimage.com/223x133.png/ff4444/ffffff,9,67491-7777
Emmott,Guiness,eguiness94@virginia.edu,D1ykeTFZweV,Male,660-596-2747,30527696427596,Norethindrone,"Glenmark Generics Inc.,USA",61,http://dummyimage.com/165x194.png/cc0000/ffffff,43,68462-305
Bryanty,Ledstone,bledstone95@telegraph.co.uk,jc1o46xJSdxr,Male,765-118-4462,,Venlafaxine Hydrochloride,Teva Pharmaceuticals USA Inc,6,http://dummyimage.com/243x103.png/dddddd/000000,24,0093-7384
Eadmund,Fairbard,efairbard96@squidoo.com,yp5Ft3WwR16,Male,292-384-5055,374288912299400,Labetalol hydrochloride,Rebel Distributors Corp,24,http://dummyimage.com/142x220.png/5fa2dd/ffffff,90,21695-988
Bent,Lattie,blattie97@forbes.com,jTWuRqRJwryy,Male,952-286-3603,3569016829519266,SODIUM CITRATE and CITRIC ACID MONOHYDRATE,Cardinal Health,16,http://dummyimage.com/146x189.png/ff4444/ffffff,61,55154-9410
Miguel,Titcomb,mtitcomb98@storify.com,MCGPf2,Male,799-414-0196,,ALCOHOL,"SJ Creations, Inc.",56,http://dummyimage.com/166x192.png/cc0000/ffffff,72,43269-641
Vidovic,Parbrook,vparbrook99@wsj.com,6KVhVYGK,Male,993-526-0434,374288667220742,Salicylic Acid,Isomers Laboratories Inc,42,http://dummyimage.com/143x217.png/5fa2dd/ffffff,3,64990-609
Dewitt,Godehard.sf,dgodehardsf9a@census.gov,T2nrIbr,Male,205-150-0768,5010129385897560,Losartan Potassium,Aidarex Pharmaceuticals LLC,56,http://dummyimage.com/141x138.png/5fa2dd/ffffff,32,33261-996
Rochell,Elston,relston9b@geocities.jp,DbE80RN,Female,197-883-5857,30089815027252,Treatment Set TS330156,"Antigen Laboratories, Inc.",78,http://dummyimage.com/189x213.png/dddddd/000000,88,49288-0766
Monika,Powder,mpowder9c@weibo.com,8MKMM2rZHh,Female,353-640-6521,4917436589922525,MICONAZOLE NITRATE,"Smith & Nephew, Inc.",73,http://dummyimage.com/225x111.png/cc0000/ffffff,8,50484-328
Adams,Whaymand,awhaymand9d@hibu.com,jPy7j8AfPEj,Male,782-941-1520,3560833595745225,Pamidronate Disodium,Areva Pharmaceuticals Inc.,38,http://dummyimage.com/220x167.png/cc0000/ffffff,22,59923-602
Hilary,Talby,htalby9e@shop-pro.jp,VNXtDDz2rFU3,Female,206-203-0195,3589718950214429,"Bismuthum metallicum, Bryonia, Cimicifuga, Gossypium herbaceum, Ipecac., Kreosotum, Lycopodium, Mag. carb., Nux vom., Pulsatilla, Sepia, Symphoricarpus racemosus, Tabacum, Zingiber, Chamomilla, Hydrastis, Iris versicolor","Newton Laboratories, Inc.",40,http://dummyimage.com/217x102.png/dddddd/000000,97,55714-2323
Pierre,Tweed,ptweed9f@craigslist.org,BEtZlUq,Male,550-198-4420,3580073812225711,Sodium Fluoride,Procter & Gamble Manufacturing Company,3,http://dummyimage.com/173x236.png/ff4444/ffffff,33,37000-845
Bud,Korneev,bkorneev9g@yahoo.com,0xdgbKibl0,Male,283-911-7369,4017821876134091,Lisinopril,Contract Pharmacy Services-PA,73,http://dummyimage.com/228x156.png/cc0000/ffffff,15,67046-426
Myrwyn,Biddlecombe,mbiddlecombe9h@sogou.com,Lk7AZTxP9bh,Male,763-987-7795,6761523171922386576,Alder White,"ALK-Abello, Inc.",75,http://dummyimage.com/188x105.png/dddddd/000000,41,0268-1007
Katya,Seaking,kseaking9i@etsy.com,lpHezsk375,Female,772-971-6493,5100130151362996,Acetaminophen,Rugby Laboratories Inc.,71,http://dummyimage.com/154x221.png/ff4444/ffffff,24,0536-3233
Andrej,Critzen,acritzen9j@sourceforge.net,4iXq650EU,Male,296-186-8685,,PETROLATUM,Dynarex Corporation,58,http://dummyimage.com/193x150.png/cc0000/ffffff,61,67777-214
Marco,Nozzolii,mnozzolii9k@csmonitor.com,yqU5FhG,Male,300-259-3703,6334812380306187874,Hydrochlorothiazide,"IVAX Pharmaceuticals, Inc.",90,http://dummyimage.com/103x174.png/dddddd/000000,28,0172-2089
Darrelle,Ivashechkin,divashechkin9l@csmonitor.com,gLtJFCH5NyTx,Female,545-121-1435,,COAGULATION FACTOR IX RECOMBINANT HUMAN,Baxter Healthcare Corporation,79,http://dummyimage.com/109x126.png/dddddd/000000,25,0944-3034
Burt,Ackerley,backerley9m@e-recht24.de,kJExjT,Male,677-102-2709,,Air,ILMO Products Company,65,http://dummyimage.com/142x128.png/dddddd/000000,15,51486-004
Yoshi,Tomaszkiewicz,ytomaszkiewicz9n@psu.edu,QhN8swW,Female,159-808-3290,5602229799203710009,Candida Albicans,"BioActive Nutritional, Inc.",71,http://dummyimage.com/240x152.png/cc0000/ffffff,51,43857-0247
Rafaello,Gartell,rgartell9o@digg.com,iUgjDl,Male,865-886-4449,3543715804125327,Carvedilol,REMEDYREPACK INC.,7,http://dummyimage.com/174x161.png/ff4444/ffffff,14,52125-460
Augustin,Duplock,aduplock9p@google.it,yGm28kAyYYh,Male,817-763-0283,676130935035052585,English Plantain,"Antigen Laboratories, Inc.",6,http://dummyimage.com/241x121.png/ff4444/ffffff,42,49288-0361
Jessika,Lackinton,jlackinton9q@cloudflare.com,C08xkH8cGuLJ,Female,955-501-9372,,Levisticum Quercus,Uriel Pharmacy Inc.,28,http://dummyimage.com/196x243.png/5fa2dd/ffffff,96,48951-6032
Helyn,Headech,hheadech9r@pbs.org,zKdkDbQ,Female,932-188-2462,,Oxcarbazepine,Apotex Corp.,17,http://dummyimage.com/234x227.png/cc0000/ffffff,45,60505-2536
Jeana,Doxsey,jdoxsey9s@netlog.com,86Lbmg,Female,613-665-5170,4525403990760047,Oak White,"ALK-Abello, Inc.",7,http://dummyimage.com/246x210.png/dddddd/000000,44,0268-1329
Cindra,Boldry,cboldry9t@acquirethisname.com,2Nt7Gpnz,Female,347-902-8143,3558637966074881,Ibuprofen,Rite Aid,21,http://dummyimage.com/182x250.png/5fa2dd/ffffff,30,11822-0393
